               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087068,            0.084923,              0.1041,           0.0062331,             0.14655,            0.015136,           0.0057228,            0.059354,            0.052776,            0.090998,            0.070128,           0.0033191,           0.0033191
                   1,            0.063555,            0.071398,            0.085291,             0.81644,            0.065627,            0.039631,            0.016941,             0.05532,            0.048073,            0.079815,            0.040062,           0.0065866,           0.0065866
                   2,            0.062611,            0.066317,            0.077983,             0.73967,            0.075591,            0.042829,            0.014404,            0.056617,            0.047974,            0.073127,           0.0099305,            0.009788,            0.009788
                   3,            0.056675,            0.065545,            0.070684,             0.88665,            0.092916,            0.086574,            0.035741,            0.048285,            0.045255,            0.065713,            0.009703,            0.009703,            0.009703
                   4,            0.050552,            0.062752,            0.063052,             0.90557,             0.10637,              0.1205,            0.061577,            0.041832,            0.044214,            0.056855,            0.009703,            0.009703,            0.009703
                   5,            0.048022,            0.063458,            0.056052,             0.94367,             0.14495,             0.17226,            0.084082,            0.040821,            0.044292,            0.049598,            0.009604,            0.009604,            0.009604
                   6,            0.045926,            0.061979,            0.048816,             0.96122,             0.15736,             0.18655,             0.10328,            0.040493,            0.044491,            0.041858,            0.009505,            0.009505,            0.009505
                   7,            0.044664,            0.062361,            0.042727,             0.98904,             0.17241,             0.19604,            0.099537,            0.041316,             0.04382,            0.035471,            0.009406,            0.009406,            0.009406
                   8,            0.043673,            0.060863,            0.038425,             0.98246,             0.17654,              0.1981,             0.11366,            0.037495,            0.043657,            0.031416,            0.009307,            0.009307,            0.009307
                   9,            0.042111,            0.060693,            0.035215,             0.99546,             0.17994,             0.20115,             0.10451,            0.040297,            0.043576,            0.029053,            0.009208,            0.009208,            0.009208
                  10,            0.041757,            0.059854,            0.033022,             0.99188,             0.17985,             0.20287,             0.11718,            0.037397,            0.043798,            0.027747,            0.009109,            0.009109,            0.009109
                  11,            0.040192,            0.060825,             0.03155,             0.99704,             0.18267,             0.20883,             0.11692,            0.037416,            0.043781,            0.026428,             0.00901,             0.00901,             0.00901
                  12,            0.040717,            0.058936,            0.030351,             0.99646,             0.18189,             0.20875,             0.12638,            0.034421,            0.042581,            0.025936,            0.008911,            0.008911,            0.008911
                  13,            0.039656,            0.059487,            0.029485,             0.99734,             0.18431,             0.21524,             0.11886,            0.037932,            0.043941,            0.025002,            0.008812,            0.008812,            0.008812
                  14,            0.039161,            0.059404,            0.028546,              0.9971,             0.18326,             0.21932,             0.13392,            0.034161,            0.042524,            0.024629,            0.008713,            0.008713,            0.008713
                  15,            0.038756,            0.059555,            0.027981,              0.9971,             0.18384,              0.2293,             0.13143,            0.036166,            0.043223,            0.024177,            0.008614,            0.008614,            0.008614
                  16,            0.038304,            0.059205,            0.027444,             0.99764,             0.18417,             0.23558,             0.14336,            0.033399,            0.042736,            0.023498,            0.008515,            0.008515,            0.008515
                  17,            0.038174,            0.057744,            0.026831,             0.99388,             0.18663,             0.24947,             0.14475,            0.036408,            0.043018,            0.023313,            0.008416,            0.008416,            0.008416
                  18,            0.037259,            0.058694,            0.026004,             0.99517,              0.1869,             0.25437,             0.15526,            0.033365,            0.042351,            0.022635,            0.008317,            0.008317,            0.008317
                  19,            0.037951,             0.05788,            0.025609,             0.99325,             0.19013,             0.25692,             0.15899,            0.033159,            0.042585,            0.022477,            0.008218,            0.008218,            0.008218
                  20,            0.037129,            0.057517,            0.025063,             0.99412,             0.19114,             0.25919,             0.14949,            0.036026,            0.042956,            0.021905,            0.008119,            0.008119,            0.008119
                  21,            0.037036,             0.05809,            0.025064,              0.9954,             0.19179,             0.26574,             0.16259,            0.032974,             0.04229,            0.021644,             0.00802,             0.00802,             0.00802
                  22,            0.036425,            0.057367,             0.02456,             0.99482,             0.19141,             0.27083,             0.16103,            0.033832,            0.042276,            0.021234,            0.007921,            0.007921,            0.007921
                  23,            0.036624,            0.058053,            0.023737,             0.99462,             0.19228,             0.27157,             0.16626,            0.032625,            0.042096,             0.02103,            0.007822,            0.007822,            0.007822
                  24,             0.03622,            0.057189,            0.023977,             0.97835,             0.20383,             0.27649,             0.17146,            0.032227,            0.041787,            0.020817,            0.007723,            0.007723,            0.007723
                  25,            0.036271,            0.057094,             0.02343,             0.99684,             0.19433,              0.2748,             0.16409,            0.034144,            0.042769,            0.020384,            0.007624,            0.007624,            0.007624
                  26,            0.036371,            0.057628,            0.023241,             0.96826,             0.21434,             0.28398,             0.17487,            0.032419,            0.042261,            0.020465,            0.007525,            0.007525,            0.007525
                  27,            0.036134,            0.057443,            0.022759,             0.95944,             0.21697,             0.28661,             0.17693,            0.032563,            0.042391,            0.020027,            0.007426,            0.007426,            0.007426
                  28,            0.035471,            0.056864,            0.022513,             0.96044,             0.22575,             0.29284,             0.17586,            0.033903,            0.042844,            0.019681,            0.007327,            0.007327,            0.007327
                  29,            0.035679,            0.056826,            0.022109,             0.96596,             0.22363,             0.29667,             0.18311,            0.032156,            0.042011,            0.019416,            0.007228,            0.007228,            0.007228
                  30,            0.035232,            0.056704,            0.022089,             0.97022,             0.21856,             0.29402,              0.1827,            0.033168,            0.042561,            0.019322,            0.007129,            0.007129,            0.007129
                  31,            0.035311,            0.057129,            0.021791,             0.95794,             0.22417,             0.30268,             0.18316,            0.034435,            0.042476,             0.01911,             0.00703,             0.00703,             0.00703
                  32,            0.035154,            0.057257,             0.02169,             0.97577,             0.22593,             0.30253,             0.18815,            0.032031,            0.042057,            0.018786,            0.006931,            0.006931,            0.006931
                  33,            0.035388,            0.057344,            0.021116,             0.94084,             0.23276,             0.31101,             0.18798,            0.034442,            0.042847,            0.018995,            0.006832,            0.006832,            0.006832
                  34,            0.034913,             0.05655,            0.020634,             0.97553,             0.22977,             0.31335,             0.19282,            0.032343,            0.042109,            0.018643,            0.006733,            0.006733,            0.006733
                  35,            0.034623,            0.056777,            0.021156,             0.94099,             0.24048,             0.32718,             0.20225,            0.032086,            0.041583,            0.018309,            0.006634,            0.006634,            0.006634
                  36,            0.034566,            0.056472,            0.020238,             0.95958,             0.23054,             0.32819,             0.19907,            0.032943,            0.042498,            0.018243,            0.006535,            0.006535,            0.006535
                  37,            0.034096,            0.055589,            0.020351,             0.94532,             0.24476,              0.3359,             0.21003,            0.031974,            0.041697,            0.017931,            0.006436,            0.006436,            0.006436
                  38,            0.034357,            0.055968,              0.0205,             0.94711,             0.24691,             0.34398,              0.2106,            0.033097,            0.042898,            0.017784,            0.006337,            0.006337,            0.006337
                  39,            0.034181,            0.055575,            0.019836,             0.94074,             0.24147,             0.32905,             0.20001,            0.032958,            0.042439,            0.017563,            0.006238,            0.006238,            0.006238
                  40,            0.034082,            0.054109,            0.020124,             0.94664,             0.24192,             0.34177,              0.2047,            0.033458,            0.043275,            0.017529,            0.006139,            0.006139,            0.006139
                  41,            0.034209,            0.056921,            0.019916,             0.93234,              0.2526,              0.3432,             0.20831,            0.032264,            0.042017,            0.017509,             0.00604,             0.00604,             0.00604
                  42,            0.034222,            0.056376,            0.019718,             0.94538,             0.24786,             0.35607,             0.21507,            0.033656,            0.042485,            0.017274,            0.005941,            0.005941,            0.005941
                  43,            0.034191,             0.05519,            0.019403,             0.94611,             0.24647,             0.35169,             0.21501,            0.032478,            0.042209,            0.017425,            0.005842,            0.005842,            0.005842
                  44,            0.033908,            0.055234,            0.019143,             0.87586,              0.2742,             0.34789,             0.21141,             0.03228,            0.042748,            0.017147,            0.005743,            0.005743,            0.005743
                  45,            0.033713,            0.055566,            0.018758,             0.93202,              0.2602,             0.35174,             0.21257,            0.032717,            0.042547,            0.017122,            0.005644,            0.005644,            0.005644
                  46,            0.033552,            0.054819,            0.018832,             0.95991,             0.25262,              0.3616,             0.22126,            0.032266,            0.042693,            0.016819,            0.005545,            0.005545,            0.005545
                  47,            0.033542,            0.056222,            0.018491,             0.89426,             0.27903,             0.35544,             0.21252,            0.033155,            0.042529,            0.016952,            0.005446,            0.005446,            0.005446
                  48,             0.03342,            0.054956,            0.018337,             0.91065,              0.2719,             0.36214,             0.22133,            0.031858,            0.042192,            0.016667,            0.005347,            0.005347,            0.005347
                  49,            0.033375,            0.055038,            0.018289,             0.92398,             0.26144,              0.3679,             0.21669,            0.034106,            0.043107,            0.016441,            0.005248,            0.005248,            0.005248
                  50,            0.032739,            0.054713,            0.018117,             0.96637,             0.25627,             0.36391,             0.22213,            0.032804,            0.042648,            0.016411,            0.005149,            0.005149,            0.005149
                  51,             0.03306,              0.0545,            0.018002,             0.94706,             0.26306,             0.36778,             0.22569,            0.031989,            0.042078,            0.016237,             0.00505,             0.00505,             0.00505
                  52,            0.033118,            0.054675,            0.017805,             0.97615,             0.25681,             0.37083,             0.22043,            0.032705,            0.042518,            0.016213,            0.004951,            0.004951,            0.004951
                  53,            0.033058,            0.054363,            0.017583,               0.892,             0.28485,              0.3734,             0.22605,            0.032327,            0.042385,             0.01628,            0.004852,            0.004852,            0.004852
                  54,            0.033286,            0.055922,            0.017745,             0.90862,             0.28073,             0.37861,             0.22829,            0.032739,            0.042422,             0.01599,            0.004753,            0.004753,            0.004753
                  55,            0.032882,            0.054747,            0.017307,             0.95599,             0.25974,             0.39229,             0.23655,            0.033147,            0.042964,            0.016102,            0.004654,            0.004654,            0.004654
